epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.55929,1.84447,9.20654,0.00554,0.46692,0.4271,0.32815,0.17029,1.68523,4.23787,0.00821,0.00023331,0.00023331,0.00023331
2,11.9956,1.19398,4.16956,0.00359,0.69024,0.6165,0.70936,0.3706,1.61127,2.43022,0.00767,0.000471818,0.000471818,0.000471818
3,17.3207,1.07668,2.29412,0.00324,0.83574,0.67172,0.81014,0.45111,1.62344,1.64301,0.00798,0.000704277,0.000704277,0.000704277
4,22.5765,1.03781,1.61899,0.00331,0.62878,0.88829,0.7749,0.40404,1.87126,1.33386,0.00943,0.000930686,0.000930686,0.000930686
5,27.7106,1.02107,1.33441,0.00314,0.78013,0.79653,0.88891,0.48967,1.73458,1.00707,0.00792,0.00105601,0.00105601,0.00105601
6,32.936,0.98844,1.14978,0.00311,0.84822,0.81461,0.9067,0.52523,1.57422,0.98349,0.00706,0.00104226,0.00104226,0.00104226
7,38.1427,0.99016,1.05956,0.00319,0.88279,0.80169,0.90402,0.49416,1.71583,1.15285,0.00876,0.00102851,0.00102851,0.00102851
8,43.3503,0.9312,0.9889,0.00301,0.7415,0.85176,0.92285,0.50685,1.68649,1.18313,0.00718,0.00101476,0.00101476,0.00101476
9,48.5142,0.90613,0.92453,0.00293,0.84727,0.90139,0.89566,0.49316,1.74875,0.94834,0.00647,0.00100101,0.00100101,0.00100101
10,53.7346,0.85761,0.92233,0.00269,0.89243,0.82721,0.88629,0.48788,1.77338,0.96921,0.00794,0.000987262,0.000987262,0.000987262
11,58.9276,0.85472,0.85747,0.00269,0.89014,0.89485,0.91795,0.51088,1.74387,1.05269,0.00792,0.000973514,0.000973514,0.000973514
12,64.2016,0.84476,0.85649,0.00268,0.89663,0.84795,0.91845,0.53962,1.63892,0.87942,0.00724,0.000959765,0.000959765,0.000959765
13,69.4313,0.82914,0.81737,0.00261,0.91597,0.93248,0.94675,0.52813,1.69636,0.83418,0.00783,0.000946016,0.000946016,0.000946016
14,74.6372,0.83052,0.81101,0.00239,0.84817,0.84748,0.89697,0.51935,1.68988,0.80564,0.00742,0.000932268,0.000932268,0.000932268
15,79.8012,0.80529,0.79691,0.00247,0.94343,0.82755,0.90551,0.50795,1.72168,0.84617,0.00703,0.000918519,0.000918519,0.000918519
16,85.0021,0.82088,0.78236,0.00253,0.95626,0.86641,0.94239,0.5568,1.59966,0.77191,0.00748,0.000904771,0.000904771,0.000904771
17,90.1844,0.8181,0.80111,0.00241,0.97365,0.89467,0.95179,0.55345,1.58757,0.72205,0.00742,0.000891022,0.000891022,0.000891022
18,95.3715,0.78057,0.76439,0.00253,0.89859,0.90685,0.90687,0.52083,1.66565,0.72832,0.00632,0.000877273,0.000877273,0.000877273
19,100.534,0.74973,0.73758,0.00219,0.88535,0.89278,0.90309,0.51663,1.66603,0.81177,0.00709,0.000863525,0.000863525,0.000863525
20,105.735,0.72535,0.71032,0.00211,0.86248,0.92829,0.89906,0.50057,1.72984,0.74639,0.00778,0.000849776,0.000849776,0.000849776
21,110.901,0.73685,0.75442,0.00222,0.82939,0.90228,0.91282,0.50047,1.7496,0.79837,0.00763,0.000836027,0.000836027,0.000836027
22,116.128,0.73952,0.7495,0.00213,0.88206,0.8802,0.90837,0.53514,1.63337,0.89461,0.00667,0.000822279,0.000822279,0.000822279
23,121.286,0.70245,0.69967,0.00211,0.87321,0.91654,0.93513,0.5401,1.61994,0.80599,0.00659,0.00080853,0.00080853,0.00080853
24,126.465,0.70907,0.712,0.00205,0.90967,0.95079,0.93651,0.51592,1.66306,0.9097,0.00669,0.000794782,0.000794782,0.000794782
25,131.599,0.71787,0.71622,0.00213,0.86971,0.9249,0.93913,0.54889,1.57056,0.99027,0.00716,0.000781033,0.000781033,0.000781033
26,136.771,0.72036,0.69811,0.00225,0.88857,0.94413,0.94381,0.52213,1.67849,0.92925,0.00644,0.000767284,0.000767284,0.000767284
27,141.911,0.69754,0.70807,0.00202,0.9065,0.95044,0.95424,0.53559,1.62626,0.83425,0.00655,0.000753536,0.000753536,0.000753536
28,147.106,0.68139,0.70562,0.00217,0.85099,0.91003,0.86863,0.50549,1.71757,0.80836,0.00742,0.000739787,0.000739787,0.000739787
29,152.241,0.69206,0.71264,0.00217,0.8976,0.91722,0.93331,0.53114,1.63611,0.86155,0.00786,0.000726038,0.000726038,0.000726038
30,157.432,0.71739,0.68211,0.00217,0.92782,0.91065,0.93398,0.51922,1.68274,0.8365,0.00724,0.00071229,0.00071229,0.00071229
31,162.571,0.67363,0.68477,0.00206,0.8664,0.90652,0.92134,0.50631,1.72414,0.80227,0.00676,0.000698541,0.000698541,0.000698541
32,167.805,0.66363,0.66469,0.00186,0.91296,0.88472,0.88861,0.50003,1.75805,0.89996,0.00706,0.000684793,0.000684793,0.000684793
33,172.955,0.66285,0.67021,0.00205,0.85515,0.91171,0.93286,0.51446,1.73455,0.86188,0.00742,0.000671044,0.000671044,0.000671044
34,178.154,0.67301,0.67117,0.00207,0.87681,0.93049,0.94183,0.53153,1.62483,0.83828,0.00657,0.000657295,0.000657295,0.000657295
35,183.329,0.6646,0.64934,0.00192,0.88387,0.88633,0.89453,0.50763,1.66192,0.89704,0.00685,0.000643547,0.000643547,0.000643547
36,188.529,0.64461,0.63968,0.0019,0.86032,0.93227,0.92059,0.50596,1.7263,0.94044,0.00741,0.000629798,0.000629798,0.000629798
